index,Unnamed: 0,country,year,women_polarity_mean,all_polarity_mean,women_polarity_median,all_polarity_median
0,0,India,2010,0.2775243713733075,0.2086223222060957,0.25,0.0
1,1,South Africa,2010,0.265853125,0.245969488372093,0.128,0.128
2,2,UK,2010,0.3244627213420317,0.2398026888604353,0.3182,0.0772
3,3,USA,2010,0.2829998716302952,0.2207906931395142,0.25,0.0258
4,4,India,2011,0.2705144303797468,0.2228648642095053,0.1779,0.0
5,5,South Africa,2011,0.2787790794979079,0.2458554575011612,0.2263,0.128
6,6,UK,2011,0.3125434817170111,0.2481000117096019,0.30615,0.128
7,7,USA,2011,0.2733518009577347,0.227385674363877,0.2263,0.0772
8,8,India,2012,0.305973573309921,0.2302509152830992,0.3164,0.0258
9,9,South Africa,2012,0.3351101408450704,0.2428810854728632,0.3818,0.128
10,10,UK,2012,0.3333646236559139,0.2627571298359327,0.3182,0.2023
11,11,USA,2012,0.2820018126520681,0.2398157190635451,0.25,0.128
12,12,India,2013,0.3092825918762089,0.2276987564959168,0.3182,0.0688
13,13,South Africa,2013,0.3152995024875621,0.2424127204703367,0.3182,0.1027
14,14,UK,2013,0.3420990913856369,0.2693483326189456,0.3412,0.2023
15,15,USA,2013,0.2902065135987386,0.2393851089081262,0.2732,0.128
16,16,India,2014,0.2986554260742898,0.234097579469233,0.296,0.0772
17,17,UK,2014,0.3589494507104145,0.275755158993044,0.3612,0.2263
18,18,USA,2014,0.3031172074204137,0.2443038983793254,0.296,0.1531
19,19,India,2015,0.2977541904917497,0.2404440650961648,0.2924,0.1027
20,20,South Africa,2015,0.3152441379310345,0.0,0.3182,0.0
21,21,UK,2015,0.3633655558414822,0.2735026648288536,0.3818,0.2263
22,22,USA,2015,0.3079370368040264,0.2563171041490262,0.296,0.2263
23,23,India,2016,0.3069297580470944,0.2467589741333802,0.296,0.1531
24,24,South Africa,2016,0.3118283168316831,0.0,0.296,0.0
25,25,UK,2016,0.3692285963293346,0.2751992137502285,0.3818,0.2263
26,26,USA,2016,0.3137107243091537,0.1375798283261802,0.3182,0.0
27,27,India,2017,0.3136963762720278,0.2555774261262716,0.3182,0.1779
28,28,UK,2017,0.37286959685914,0.2784800810567397,0.3818,0.2263
29,29,USA,2017,0.3194129045246364,0.190376923076923,0.3182,0.0
30,30,India,2018,0.3287019615018663,0.2690828628887452,0.34,0.2144
31,31,UK,2018,0.372802722192176,0.2716672171332731,0.3818,0.224
32,32,USA,2018,0.3203454423592493,0.2270424657534246,0.3182,0.1027
33,33,India,2019,0.3249360603763181,0.272066685738807,0.3182,0.2411
34,34,South Africa,2019,0.3736106085985483,0.2703872242303378,0.4019,0.2263
35,35,UK,2019,0.3734213039208279,0.2922646196613596,0.3875,0.2732
36,36,USA,2019,0.3262898395490026,0.2701992062530295,0.3182,0.2263
37,37,India,2020,0.3182308383233533,0.2715651582098061,0.3612,0.22715
38,38,South Africa,2020,0.743,0.2396471295387635,0.743,0.128
39,39,UK,2020,0.4342652941176471,0.2795785740948115,0.4939,0.25
40,40,USA,2020,0.279496,0.2661661867286711,0.1779,0.2263
